City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
395,paramonga,-10.6667,-77.8333,66.67,90,93,7.45,overcast clouds,PE,2021-12-11 04:58:09
396,severo-kurilsk,50.6789,156.125,33.84,89,100,7.0,overcast clouds,RU,2021-12-11 04:58:10
397,ranot,7.7777,100.3213,82.78,68,100,12.06,overcast clouds,TH,2021-12-11 04:58:10
398,hobyo,5.3505,48.5268,78.33,69,65,18.9,broken clouds,SO,2021-12-11 04:58:11
399,port lincoln,-34.7333,135.8667,70.39,54,65,10.25,broken clouds,AU,2021-12-11 04:58:11
400,conakry,9.538,-13.6773,84.27,79,20,0.0,haze,GN,2021-12-11 04:58:11
401,nurota,40.5614,65.6886,41.09,29,95,4.76,overcast clouds,UZ,2021-12-11 04:58:12
402,chulman,56.8479,124.9104,-6.68,96,100,1.97,overcast clouds,RU,2021-12-11 04:58:12
403,jiayuguan,39.8167,98.3,25.83,62,54,0.85,broken clouds,CN,2021-12-11 04:58:12
404,alofi,-19.0595,-169.9187,80.49,74,84,8.05,light rain,NU,2021-12-11 04:58:13
405,halifax,44.6453,-63.5724,41.22,87,100,4.0,overcast clouds,CA,2021-12-11 04:55:27
406,riberalta,-10.9833,-66.1,71.83,99,100,2.82,overcast clouds,BO,2021-12-11 04:58:13
407,merauke,-8.4667,140.3333,83.62,74,97,9.53,light rain,ID,2021-12-11 04:55:05
408,altay,47.8667,88.1167,15.44,66,0,2.98,clear sky,CN,2021-12-11 04:59:14
409,jimo,36.3897,120.4622,47.98,61,100,6.71,haze,CN,2021-12-11 04:59:14
410,pochinki,54.6988,44.8668,10.71,86,6,8.55,clear sky,RU,2021-12-11 04:59:14
411,eureka,40.8021,-124.1637,44.2,74,100,5.93,overcast clouds,US,2021-12-11 04:59:15
412,rosarito,32.3333,-117.0333,54.09,71,2,4.32,clear sky,MX,2021-12-11 04:59:15
413,sitka,57.0531,-135.33,35.49,75,90,6.91,light rain,US,2021-12-11 04:59:15
414,rafsanjan,30.4067,55.9939,51.19,27,72,0.56,broken clouds,IR,2021-12-11 04:58:54
415,hornepayne,49.2138,-84.7705,21.58,97,100,3.2,overcast clouds,CA,2021-12-11 04:59:16
416,komsomolskiy,40.4272,71.7189,42.22,45,64,4.61,broken clouds,UZ,2021-12-11 04:59:16
417,makubetsu,45.3714,141.8211,44.31,87,75,9.22,broken clouds,JP,2021-12-11 04:59:17
418,san jose,37.3394,-121.895,50.5,70,1,0.0,clear sky,US,2021-12-11 04:55:04
419,clyde river,70.4692,-68.5914,-1.97,78,93,13.8,light snow,CA,2021-12-11 04:59:17
420,leshukonskoye,64.8989,45.7622,10.29,90,99,7.25,overcast clouds,RU,2021-12-11 04:59:18
421,abu samrah,35.3029,37.1841,50.16,66,24,7.61,few clouds,SY,2021-12-11 04:59:18
422,dingle,10.9995,122.6711,83.75,76,100,12.82,overcast clouds,PH,2021-12-11 04:59:18
423,aguie,13.506,7.7786,61.9,15,11,9.84,few clouds,NE,2021-12-11 04:59:19
424,road town,18.4167,-64.6167,79.0,73,0,23.89,clear sky,VG,2021-12-11 04:59:19
425,los llanos de aridane,28.6585,-17.9182,60.55,72,20,13.0,few clouds,ES,2021-12-11 04:59:19
426,hovd,48.0056,91.6419,15.33,40,0,1.07,clear sky,MN,2021-12-11 04:59:20
427,jardim,-21.4803,-56.1381,71.55,43,96,2.82,overcast clouds,BR,2021-12-11 04:59:20
428,manokwari,-0.8667,134.0833,84.74,74,45,9.26,scattered clouds,ID,2021-12-11 04:59:21
429,leningradskiy,69.3833,178.4167,-21.77,82,79,15.48,broken clouds,RU,2021-12-11 04:59:21
430,khandyga,62.6667,135.6,-8.07,99,100,2.37,overcast clouds,RU,2021-12-11 04:59:21
431,grand gaube,-20.0064,57.6608,82.8,64,12,8.01,few clouds,MU,2021-12-11 04:59:22
432,ribeira grande,38.5167,-28.7,63.88,82,3,15.41,clear sky,PT,2021-12-11 04:59:22
433,kibre mengist,5.8833,38.9833,57.78,30,14,4.07,few clouds,ET,2021-12-11 04:59:22
434,shingu,33.7333,135.9833,63.59,53,18,3.89,few clouds,JP,2021-12-11 04:59:23
435,ouesso,1.6136,16.0517,70.72,80,100,0.4,overcast clouds,CG,2021-12-11 04:59:23
436,narsaq,60.9167,-46.05,21.97,75,100,4.05,overcast clouds,GL,2021-12-11 04:59:23
437,north vernon,39.0062,-85.6236,64.74,91,100,24.09,overcast clouds,US,2021-12-11 04:58:47
438,natal,-5.795,-35.2094,81.25,83,75,12.66,broken clouds,BR,2021-12-11 04:59:24
439,salamiyah,35.0113,37.0532,50.77,62,17,7.05,few clouds,SY,2021-12-11 04:59:24
440,bathsheba,13.2167,-59.5167,79.41,78,40,14.97,scattered clouds,BB,2021-12-11 04:59:25
441,guanica,17.9716,-66.908,78.06,81,0,1.01,clear sky,PR,2021-12-11 04:59:25
442,ucluelet,48.9329,-125.5528,47.08,92,100,1.99,light rain,CA,2021-12-11 04:59:25
