City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
261,carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
262,oussouye,SN,69.98,overcast clouds,12.485,-16.5469,Auberge du Routard
263,atar,MR,66.45,overcast clouds,20.5169,-13.0499,Oumou Elghoura
264,susaki,JP,57.27,scattered clouds,33.3667,133.2833,Awa
265,fukue,JP,59.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
266,sao filipe,CV,74.5,overcast clouds,14.8961,-24.4956,Hotel Xaguate
269,bambous virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
271,huambo,AO,59.2,overcast clouds,-12.7761,15.7392,SiSHotel
273,sainte-marie,RE,75.33,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
278,natchitoches,US,76.98,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
279,houma,US,77.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
284,mar del plata,AR,68.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
285,salta,AR,68.29,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
286,niamey,NE,73.69,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
295,naron,ES,57.04,overcast clouds,43.5167,-8.1528,Marcial
296,sur,OM,69.04,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
298,launceston,AU,67.6,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
305,akhmim,EG,55.6,overcast clouds,26.5622,31.745,برج الماسة السكني
306,mandiana,GN,71.92,scattered clouds,10.6333,-8.6833,Motels rouzo
308,vila do maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
313,namibe,AO,70.32,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
314,bandarbeyla,SO,74.39,clear sky,9.4942,50.8122,JABIR HOTEL
317,coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Punto de encuentro
322,amarpur,IN,64.42,clear sky,25.0333,86.9,Amit kirana store
323,saint-philippe,RE,74.75,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
327,praia da vitoria,PT,62.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
330,yungay,PE,58.37,light rain,-9.1383,-77.7436,Hotel Rima Rima Yungay Peru
341,chabahar,IR,69.84,overcast clouds,25.2919,60.643,هتل گدروشیا
345,djambala,CG,69.21,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
346,matay,EG,59.16,overcast clouds,28.419,30.7792,Nag Aespen
350,ballina,AU,78.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
352,cajabamba,PE,56.59,light rain,-7.6167,-78.05,Hostal Miguel Cajabamba
353,chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
354,hobyo,SO,76.89,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
356,lazaro cardenas,MX,77.23,clear sky,17.9583,-102.2,quinta antigua
357,atlautla,MX,67.01,scattered clouds,19.0167,-98.7833,Hotel Campestre Eden
358,caravelas,BR,73.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
