City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
595,umm lajj,SA,76.05,overcast clouds,25.0213,37.2685,Moon light Furnished Units
602,najran,SA,55.69,clear sky,17.4924,44.1277,محمد هادي ال فطيح
604,borba,BR,73.99,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
608,praya,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
611,peniche,PT,57.61,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
612,wanaka,NZ,59.11,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
624,araria,IN,74.44,clear sky,26.15,87.5167,Ravin Hotel
625,marawi,PH,75.65,light rain,7.9986,124.2928,Derogongan Residence
629,virginia beach,US,58.01,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
632,horta,PT,62.67,clear sky,38.5333,-28.6333,Hotel do Canal | Horta - Faial
636,aquidauana,BR,74.5,broken clouds,-20.4711,-55.7872,HOTEL ARARAS
639,viedma,AR,68.05,clear sky,-40.8135,-62.9967,Hotel Cristal
643,karoi,ZW,73.18,clear sky,-16.8099,29.6925,Chikangwe Guest houses
